version,shot_id,importance,duration_sec,画面描述,Image_Prompt
v2_reasoner,E001_S001,C,5,大远景镜头，展示一辆白色汽车行驶在蜿蜒的乡间小路上。周围是连绵的绿色山丘和零星树木，天空清澈湛蓝，阳光透过云层洒下柔和光影。,"Extreme long shot of a white car driving on a winding country road through green hills, Ghibli animation style, cinematic, soft sunlight, clear blue sky, detailed landscape, 8K, film grain, --ar 16:9"
v2_reasoner,E001_S002_HERO,S,8,特写镜头，聚焦于千寻手中捧着的枯萎花束。花束由白色和粉色花朵组成，但颜色暗淡，花瓣凋零卷曲。千寻的脸部部分入镜，她低着头，眼神落寞而若有所思。,"Extreme close-up of a withered flower bouquet in Chihiro's hands, Ghibli style, cinematic lighting, shallow depth of field, Chihiro's sad expression in the background, 8K, film grain, --ar 16:9"
v2_reasoner,E001_S009_HERO,S,8,大远景镜头，森林逐渐密集，树木高大茂密。在道路尽头，一座鲜红色的石制隧道突然出现，拱形入口深邃黑暗，与绿色环境形成强烈对比。隧道表面爬满藤蔓，入口处有神秘雕刻。,"Extreme long shot of dense forest with a bright red stone tunnel at the end, Ghibli style, cinematic, dramatic contrast, vines and carvings on tunnel, 8K, film grain, --ar 16:9"
v2_reasoner,E001_S015_HERO,S,8,中景镜头，隧道内部幽暗潮湿，只有入口处渗入的微光。千寻站在父母身后，身体颤抖。墙壁滴落水珠，地面有积水倒影。氛围阴森。,"Medium shot inside dark tunnel, Chihiro trembling behind parents, Ghibli style, cinematic lighting, water droplets on walls, reflective puddles, 8K, film grain, --ar 16:9"
v2_reasoner,E001_S020_HERO,S,8,大远景镜头，隧道出口突然展开，耀眼光明涌入，揭示一个梦幻般的世界：蓝天白云，绿色草地，远处有奇特建筑。视觉冲击强烈。,"Extreme long shot of tunnel exit revealing a fantastical world, Ghibli style, cinematic, bright light flooding in, green fields and strange buildings, dramatic reveal, 8K, film grain, --ar 16:9"
v2_reasoner,E001_S025_HERO,S,8,大远景镜头，废弃江户小镇全景震撼亮相：传统日式建筑林立，街道蜿蜒，但空无一人。天空灰蓝，云层低垂。小镇依山而建，远处有神秘高塔。,"Extreme long shot of abandoned Edo-style town, Ghibli style, cinematic, bird's eye view, traditional buildings, desolate streets, distant tower, 8K, film grain, --ar 16:9"
v2_reasoner,E001_S032_HERO,S,8,中景镜头，千寻警告父母不要吃，她抓住父亲手臂，表情急切恐惧。父母不理睬，已拿起食物。对比鲜明：千寻清醒警惕 vs 父母沉迷诱惑。,"Medium shot of Chihiro warning parents not to eat, Ghibli style, cinematic, contrasting expressions, grabbing father's arm, food stall light casting shadows, 8K, film grain, --ar 16:9"
v2_reasoner,E001_S045_HERO,S,8,大远景镜头，红桥横跨河流，结构优美涂鲜红色。桥后巨大建筑油屋的灯笼逐一亮起，暖黄光芒照亮天际。河流反射灯光如金色鳞片。震撼揭示魔法世界入口。,"Extreme long shot of red bridge over river with bathhouse lanterns lighting up, Ghibli style, cinematic, dusk setting, vibrant red bridge, golden reflections, dramatic reveal, 8K, film grain, --ar 16:9"
v2_reasoner,E001_S048_HERO,S,8,仰拍镜头，白龙从天而降登场：一条优雅白龙盘旋空中，鳞片闪耀银光。它降落在桥边，化为少年形象，穿着白袍，黑发飘动。千寻抬头震惊。龙形与少年过渡流畅，魔法特效。,"Low angle shot of Haku descending as a white dragon, Ghibli style, cinematic, dragon transforming into boy, silvery scales, elegant motion, Chihiro looking up in awe, moonlight, 8K, film grain, --ar 16:9"
v2_reasoner,E001_S050,A,7,远景镜头，白龙转身飞走，化为龙形消失在夜空中。千寻独自站在红桥上，身影孤单。油屋灯光闪烁，河流流淌。镜头拉远，展示她渺小于宏大世界。集结尾钩子，暗示冒险开始。,"Long shot of Haku flying away as dragon, Chihiro alone on red bridge, Ghibli style, cinematic, night sky, bathhouse lights twinkling, pull-back shot, lonely atmosphere, cliffhanger ending, 8K, film grain, --ar 16:9"
