shot_id,duration,shot_type,scene,environment,lighting,mood,camera,character,action,acting,dialogue,narration,sfx,Image_Prompt,Video_Prompt
1,6,全景,隧道入口,荒蕪的草地，矗立著一座古老、布滿藤蔓的紅色石砌隧道入口，像一張巨口。,陰天，冷色調，入口內部一片漆黑，形成強烈對比。,神秘，不安，預示著未知。,固定，從千尋一家背後拍攝，凸顯入口的壓迫感。,千尋，父親，母親,千尋緊抓母親的手，身體後縮，父親則好奇地探頭張望。,千尋：恐懼、抗拒，眉頭緊鎖，眼神充滿警惕。父母：漫不經心，帶著都市人的好奇與輕率。,父親：“看起來是個舊隧道。過去看看。” 千尋：“我害怕……我們回去吧。”,,風聲，遠處烏鴉叫聲。,吉卜力風格，一個小女孩緊抓母親的手，恐懼地望向一個古老紅色隧道入口，父母站在前方，陰天光線，背景是荒蕪草地，畫面充滿神秘不安的氛圍。,固定鏡頭，從千尋一家背後拍攝古老的紅色隧道入口，風吹動草地，父母邁步向前，千尋被拖著走，鏡頭緩慢推進，強調入口的黑暗與未知。
2,5,中景,隧道內部,狹長、潮濕的石砌隧道，牆壁滴著水，盡頭有微弱的光。,極暗，只有入口和出口的光勾勒出人影，營造幽閉感。,壓抑，詭異，步步深入。,跟拍，從側後方跟隨三人行走，腳步聲迴響。,千尋，父親，母親,千尋被父母夾在中間走，她不斷回頭看越來越遠的入口光亮。,千尋：身體緊繃，每一步都猶豫，呼吸急促。父母：談笑風生，對環境毫不在意。,母親：“這隧道真長啊。” 父親：“建築很有特色。”,千尋的內心獨白：“光……越來越遠了。”,空洞的腳步迴音，滴水聲。,吉卜力風格，隧道內部，一家三口在昏暗光線中前行，千尋恐懼地回頭，父母背影輕鬆，潮濕的石壁，盡頭有光，營造強烈的對比與壓抑感。,跟拍鏡頭，跟隨千尋一家在昏暗隧道中行走，鏡頭輕微晃動模擬主觀視角，重點捕捉千尋頻繁回頭的動作和父母輕鬆的背影，腳步聲迴盪。
3,4,全景,隧道出口/神靈世界初現,走出隧道，眼前豁然開朗，是一片廣闊的草原，遠方有奇異的建築和風車，天空色彩夢幻。,溫暖的夕陽光，金色灑滿草原，與隧道內的陰暗形成戲劇性轉變。,驚奇，夢幻，不真實的美。,拉開，從三人背影拉出，展現壯麗的全景。,千尋，父親，母親,三人站在出口，被眼前的景象震驚，千尋微微張嘴，父母則興奮地指點。,千尋：驚訝中帶著更深的困惑與不安。父母：完全被美景吸引，表現出遊客般的興奮。,父親：“看！一個主題公園嗎？居然廢棄了。” 母親：“空氣真好！”,,風吹過草原的聲音，悠揚的背景音樂起。,吉卜力風格，隧道出口，一家三口站在前景，背影面對著一片金色夕陽下的奇幻草原和遠方奇異建築，畫面溫暖而夢幻，充滿不真實感。,鏡頭從三人近景快速拉開至大遠景，展現神靈世界的全貌，風吹動草原和千尋的頭髮，背景音樂漸強，營造史詩般的進入感。
4,5,中景,空蕩的街道,仿古的日式街道，兩旁是空無一人的店鋪，旗幟飄揚，異常安靜。,夕陽斜照，拉長影子，溫暖色調中透著寂寥。,詭異的寧靜，無人卻整潔，潛伏著什麼。,橫移，跟隨三人沿街道行走，掃過空蕩的店鋪。,千尋，父親，母親,父母快步走在前面，四處張望，千尋小跑著跟上，緊緊拉住母親的衣角。,千尋：警惕地觀察每一個角落，嗅著空氣。父母：好奇心旺盛，討論著“員工都去哪了”。,千尋：“一個人……都沒有。味道好奇怪。” 父親：“大概是下班了吧。”,千尋的內心獨白：“有食物的香味……但是，好濃，好膩。”,風吹旗幟的獵獵聲，三人的腳步聲。,吉卜力風格，空無一人的仿古街道，夕陽下，父母興致勃勃走在前，千尋緊張地拉著母親衣角跟在後，影子拉長，畫面寧靜中透著詭異。,橫移跟拍鏡頭，跟隨三人在空蕩街道行走，鏡頭緩緩掃過兩側寂靜的店鋪和飄揚的旗幟，突出千尋不安的視線和父母輕鬆的對比。
5,6,近景,美食攤位前,一個堆滿豐盛食物的露天攤位，食物冒著騰騰熱氣，色彩鮮豔誘人。,食物被暖光打得油亮，格外誘人，背景漸暗。,誘惑，危險的甜美。,推近，從千尋的視角推向堆積如山的食物。,千尋，父親，母親,父母已經坐在攤位前，父親拿起食物，母親也準備開動。千尋站在一旁，沒有坐下。,父母：眼神發直，被食物完全吸引，動作急切。千尋：皺著鼻子，向後退了一小步，表情抗拒。,父親：“太好了！先吃吧，吃完再付錢。” 千尋：“爸爸，媽媽，不要！沒有人在啊！”,,食物煎炸的滋滋聲，誘人的背景音效。,吉卜力風格特寫，堆積如山、冒著熱氣的誘人美食，父母坐在前景伸手去拿，千尋站在後景邊緣，一臉恐懼和抗拒，暖光聚焦於食物。,鏡頭模擬千尋視角，緩緩推近那些誘人的食物，然後切到千尋恐懼的臉部特寫，再拉出看到父母已經開始大快朵頤，對比強烈。
6,8,特寫,父母進食,攤位前，食物快速減少。,光線聚焦在父母臉上和食物上，周圍環境暗下。,驚悚，失控，異化開始。,快速切換特寫，父親的臉、母親的臉、塞滿食物的手、千尋驚恐的臉。,千尋，父親，母親,父母瘋狂地往嘴裡塞食物，不顧儀態，發出巨大的咀嚼聲。千尋驚恐地看著。,父母：眼神空洞，咀嚼動作機械而狂野，臉上沾滿食物。千尋：瞳孔震動，用手摀住嘴，難以置信。,（只有瘋狂的咀嚼聲）千尋：“爸爸！媽媽！停下！”,千尋的內心獨白：“不對勁……他們……不像他們了……”,誇張的咀嚼聲、吞咽聲，逐漸變調的背景音樂。,吉卜力風格，一系列快速切換的特寫：父親塞滿食物的臉部特寫，眼神空洞；母親貪婪咀嚼的手部特寫；千尋驚恐睜大的眼睛特寫，畫面充滿驚悚感。,快切鏡頭組合：父親狂吃的臉部特寫，母親的手抓取食物，食物消失的速度，千尋震驚的表情特寫，鏡頭節奏加快，配合令人不安的音效。
7,7,中景,異變發生,攤位前，天色迅速變暗。,詭異的紫藍色暮光，影子扭曲。,恐怖，絕望，世界變質。,緩慢後拉，展現全景，然後聚焦千尋。,千尋，父親（豬），母親（豬）,父母的身體開始膨脹變形，衣服被撐破，逐漸變成豬的形態，但仍繼續吃著。千尋尖叫後退。,父母：在無知無覺中異化，發出豬的叫聲。千尋：從震驚到極度恐懼，全身顫抖，淚水在眼眶打轉。,（豬的叫聲）千尋：“不……不要！爸爸！媽媽！看看你們自己！”,,衣物撕裂聲，骨骼變形聲，豬的哼叫聲，千尋的尖叫聲。,吉卜力風格，暮色中，父母的身體正在扭曲變形成豬，衣服碎裂，千尋在幾步之外雙手捂嘴，極度恐懼地看著這一切，畫面詭異而悲傷。,鏡頭先中景拍攝變形過程，然後繞到千尋背後，以她的視角觀看，最後推到千尋充滿淚水和恐懼的臉部特寫，背景是兩隻豬進食的剪影。
8,5,特寫,千尋的反應,模糊的背景，焦點全在千尋臉上。,臉部有側光，眼睛裡反射著遠處燈火，淚光閃爍。,崩潰，孤獨，被遺棄。,極近特寫，輕微晃動，模仿主觀的顫抖視角。,千尋,千尋癱坐在地上，眼淚無聲滑落，她看著變成豬的父母，又看向四周黑暗降臨的陌生世界。,徹底的無助與絕望，嘴唇顫抖，想哭卻發不出太大聲音，眼神從父母身上移到空無一人的街道，充滿迷茫。,（啜泣聲）“……怎麼會這樣……”,千尋的內心獨白：“只剩下我一個了……在這個不知道是哪裡的地方……”,低沉的環境音，隱約的風聲，千尋壓抑的啜泣聲。,吉卜力風格，千尋臉部極近特寫，淚水劃過臉頰，瞳孔中映出遠處的燈光和絕望，背景虛化，光影突出她的孤獨與脆弱。,手持式顫抖的特寫鏡頭，緊緊跟隨千尋的臉，捕捉她每一滴淚水滑落和眼神中變化的情緒，從恐懼到絕望到空洞，背景逐漸失焦。
9,6,全景,夜晚降臨的神靈世界,街道兩旁突然亮起無數燈籠和霓虹燈，建築物輪廓浮現，遠處有橋樑和宏偉澡堂，天空變成深紫色。,五彩斑斕的燈光驟然點亮，與之前的寂靜形成強烈反差，光影流動。,喧囂，魔幻，危險降臨。,快速上搖，從癱坐的千尋拉開到城市全景，展現世界的“甦醒”。,千尋（小），背景出現模糊的神靈影子。,千尋驚恐地抬頭，看到整個世界活了過來，燈火通明，各種奇形怪狀的影子開始在街道和空中出現。,千尋：被突如其來的變化嚇得忘記哭泣，睜大眼睛，身體縮得更緊，試圖隱藏自己。,,,燈籠點亮的“噗噗”聲，遠處傳來喧鬧的音樂和模糊的談笑聲，神靈走動的沉重腳步聲。,吉卜力風格大遠景，夜晚，奇幻的神靈世界燈火通明，各種奇異建築和燈籠閃耀，前景是小小癱坐的千尋剪影，凸顯她的渺小與世界的龐大魔幻。,鏡頭從千尋低角度的特寫快速上搖並拉遠，展現整個神靈世界在夜晚瞬間點亮的壯觀景象，光影流動，神靈的影子掠過，音樂轉為喧鬧奇幻。
10,8,中近景,千尋的抉擇,街道角落，燈光閃爍，她的影子被拉長。,臉部處於明暗交界，眼神中有微光。,絕境中的微弱決心，轉折點。,緩慢推近，最終定格在千尋的眼睛特寫上。,千尋,千尋擦去眼淚，顫抖著但堅定地站了起來。她最後看了一眼變成豬的父母，轉身看向燈火通明的街道深處。,恐懼仍在，但被一種必須活下去、必須救回父母的原始決心壓過。她深吸一口氣，握緊拳頭，眼神從迷茫變得專注。,千尋（低聲對自己說）：“必須……想辦法。必須救他們……”,千尋的內心獨白：“不能哭……現在，只能向前走了。”,遠處持續的喧鬧聲，千尋站起時衣服的摩擦聲，堅定的背景音樂旋律響起。,吉卜力風格，千尋站在光影交錯的街道，臉上淚痕未乾但眼神堅定，她握緊拳頭望向遠處燈火，身後是模糊的豬形父母影子，畫面充滿決絕與希望。,鏡頭緩緩推近站立的千尋，從中景推到近景，最後定格在她閃爍著決心的眼睛特寫上，背景虛化，音樂從悲傷轉為帶有希望的旋律。
